,taxId,streetName,houseNumber,propertyType,area
0,38522,Aradi,1,C,180
1,86379,Aradi,2,C,64
2,79906,Aradi,3,C,123
3,92210,Aradi,4,C,152
4,49812,Aradi,5,C,154
5,26753,Aradi,6,C,231
6,97969,Aradi,7,C,80
7,33366,Aradi,8A,C,180
8,22510,Aradi,8B,C,137
9,90561,Aradi,10,C,168
10,59966,Aradi,11,C,297
11,41456,Aradi,12,C,246
12,45156,Aradi,13,C,282
13,76032,Aradi,14,C,120
14,79028,Aradi,15,C,213
15,21210,Aradi,16,C,277
16,76500,Aradi,17,C,151
17,38722,Aradi,18,C,147
18,29556,Aradi,19,C,139
19,42220,Aradi,20A,C,90
20,42220,Aradi,20B,C,90
21,66550,Aradi,22,C,147
84,31996,Gerle,1,C,216
85,90017,Gerle,2,C,68
86,94360,Gerle,3,C,163
87,51977,Gerle,4,C,110
88,78743,Gerle,5,C,135
89,54785,Gerle,6,C,140
90,66477,Gerle,7,C,121
91,37891,Gerle,8,C,183
92,99795,Gerle,9,C,45
93,44038,Gerle,10,C,160
94,83397,Gerle,11,C,111
95,20000,Gerle,12,C,209
96,24151,Gerle,13,C,161
97,64784,Gerle,14,C,160
98,55875,Gerle,15,C,290
99,90151,Gerle,16,C,285
100,61596,Gerle,17,C,266
101,18134,Gerle,18,C,60
102,79263,Gerle,19,C,155
103,18949,Gerle,20,C,205
104,59222,Gerle,21,C,249
105,10988,Gerle,22,C,160
106,41894,Gerle,23,C,112
107,81381,Gerle,24,C,179
129,59646,Harmat,2,C,260
130,12928,Harmat,3,C,260
131,66676,Harmat,4,C,214
132,29682,Harmat,5,C,131
133,20743,Harmat,6,C,44
134,20137,Harmat,7,C,157
135,68361,Harmat,8,C,219
136,40461,Harmat,9,C,189
137,58029,Harmat,10,C,65
138,93456,Harmat,11,C,137
139,40585,Harmat,12,C,178
140,81223,Harmat,14A,C,112
141,98137,Harmat,14B,C,112
142,34335,Harmat,15,C,200
143,51673,Harmat,16,C,189
144,53590,Harmat,17,C,262
145,65864,Harmat,18,C,249
146,96867,Harmat,19,C,161
147,84496,Harmat,20,C,54
148,55715,Harmat,21,C,209
149,68396,Harmat,22,C,98
